home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result,home_rank,home_points,confederation_x,away_rank,away_points,confederation_y,ranking_difference,points_difference,home_team_power,away_team_power,team_power_difference
Uruguay,Sweden,7987,Final stage,Brazil,1950,1950-07-13,3,2,home_win,,,,,,,,,65.00322653846155,62.87979807692308,2.1234284615384666
Brazil,Spain,152772,Final stage,Brazil,1950,1950-07-13,6,1,home_win,,,,,,,,,71.18102653846155,71.50423846153845,-0.3232119230768973
Uruguay,Brazil,173850,Final stage,Brazil,1950,1950-07-16,2,1,home_win,,,,,,,,,65.00322653846155,71.18102653846155,-6.177800000000005
Sweden,Spain,11227,Final stage,Brazil,1950,1950-07-16,3,1,home_win,,,,,,,,,62.87979807692308,71.50423846153845,-8.624440384615369
Uruguay,Czechoslovakia,20500,Group stage,Switzerland,1954,1954-06-16,2,0,home_win,,,,,,,,,65.00322653846155,,
Austria,Scotland,25000,Group stage,Switzerland,1954,1954-06-16,1,0,home_win,,,,,,,,,63.952364230769234,62.71133875,1.2410254807692311
Brazil,Mexico,13470,Group stage,Switzerland,1954,1954-06-16,5,0,home_win,,,,,,,,,71.18102653846155,64.15167115384617,7.029355384615386
Yugoslavia,France,16000,Group stage,Switzerland,1954,1954-06-16,1,0,home_win,,,,,,,,,,69.714,
England,Belgium,14000,Group stage,Switzerland,1954,1954-06-17,4,4,draw,,,,,,,,,68.18326346153846,67.93338076923077,0.24988269230769333
Germany,Turkey,28000,Group stage,Switzerland,1954,1954-06-17,4,1,home_win,,,,,,,,,69.83241730769232,63.71142807692308,6.120989230769247
Hungary,South Korea,13000,Group stage,Switzerland,1954,1954-06-17,9,0,home_win,,,,,,,,,57.00994596153846,,
Switzerland,Italy,43000,Group stage,Switzerland,1954,1954-06-17,2,1,home_win,,,,,,,,,64.68190576923077,68.45827307692308,-3.776367307692311
France,Mexico,19000,Group stage,Switzerland,1954,1954-06-19,3,2,home_win,,,,,,,,,69.714,64.15167115384617,5.562328846153832
Austria,Czechoslovakia,26000,Group stage,Switzerland,1954,1954-06-19,5,0,home_win,,,,,,,,,63.952364230769234,,
Brazil,Yugoslavia,24637,Group stage,Switzerland,1954,1954-06-19,1,1,draw,,,,,,,,,71.18102653846155,,
Uruguay,Scotland,34000,Group stage,Switzerland,1954,1954-06-19,7,0,home_win,,,,,,,,,65.00322653846155,62.71133875,2.291887788461544
Turkey,South Korea,4000,Group stage,Switzerland,1954,1954-06-20,7,0,home_win,,,,,,,,,63.71142807692308,,
Hungary,Germany,56000,Group stage,Switzerland,1954,1954-06-20,8,3,home_win,,,,,,,,,57.00994596153846,69.83241730769232,-12.822471346153861
Switzerland,England,43500,Group stage,Switzerland,1954,1954-06-20,0,2,away_win,,,,,,,,,64.68190576923077,68.18326346153846,-3.5013576923076926
Italy,Belgium,24000,Group stage,Switzerland,1954,1954-06-20,4,1,home_win,,,,,,,,,68.45827307692308,67.93338076923077,0.524892307692312
Switzerland,Italy,30000,Group stage play-off,Switzerland,1954,1954-06-23,4,1,home_win,,,,,,,,,64.68190576923077,68.45827307692308,-3.776367307692311
Germany,Turkey,17000,Group stage play-off,Switzerland,1954,1954-06-23,7,2,home_win,,,,,,,,,69.83241730769232,63.71142807692308,6.120989230769247
Switzerland,Austria,35000,Quarter-finals,Switzerland,1954,1954-06-26,5,7,away_win,,,,,,,,,64.68190576923077,63.952364230769234,0.7295415384615325
Uruguay,England,28000,Quarter-finals,Switzerland,1954,1954-06-26,4,2,home_win,,,,,,,,,65.00322653846155,68.18326346153846,-3.180036923076912
Hungary,Brazil,40000,Quarter-finals,Switzerland,1954,1954-06-27,4,2,home_win,,,,,,,,,57.00994596153846,71.18102653846155,-14.171080576923089
Germany,Yugoslavia,17000,Quarter-finals,Switzerland,1954,1954-06-27,2,0,home_win,,,,,,,,,69.83241730769232,,
Germany,Austria,58000,Semi-finals,Switzerland,1954,1954-06-30,6,1,home_win,,,,,,,,,69.83241730769232,63.952364230769234,5.88005307692309
Hungary,Uruguay,45000,Semi-finals,Switzerland,1954,1954-06-30,4,2,home_win,,,,,,,,,57.00994596153846,65.00322653846155,-7.993280576923084
