team,avg_overall,avg_potential,attack_score,midfield_score,defense_score,physical_score,international_reputation,avg_player_score,squad_value,team_power_score
Denmark,76.61538461538461,79.92307692307692,67.63076923076923,73.09423076923078,63.407692307692315,72.20384615384616,1.5384615384615385,70.57624999999999,308600000.0,64.05919923076922
Austria,76.07692307692308,78.0,68.33846153846153,72.61153846153846,64.11538461538461,72.5673076923077,1.5384615384615385,70.35355769230769,241900000.0,63.952364230769234
Turkey,75.3076923076923,77.5,66.79038461538461,73.70961538461539,65.01346153846154,70.30192307692307,1.5769230769230769,70.02673076923077,180100000.0,63.71142807692308
Chile,75.65384615384616,76.11538461538461,66.62884615384615,74.3423076923077,62.35576923076923,71.77307692307691,1.7307692307692308,69.90884615384616,195550000.0,63.523315961538465
Russia,75.61538461538461,77.26923076923077,65.64807692307691,72.25,65.8326923076923,71.62692307692308,1.3846153846153846,69.71788461538462,145000000.0,63.45978846153847
Ghana,74.38461538461539,76.84615384615384,65.57307692307693,70.76346153846154,67.11153846153846,75.61153846153846,1.4615384615384615,69.47855769230769,176700000.0,63.09506576923078
Senegal,76.1923076923077,78.15384615384616,62.217307692307685,69.05961538461538,66.88076923076923,72.86346153846154,1.6923076923076923,69.54182692307691,286600000.0,62.96990692307693
Sweden,75.1923076923077,76.6923076923077,65.76153846153846,72.45961538461539,62.38653846153846,70.70961538461539,1.6153846153846154,69.22855769230769,167500000.0,62.87979807692308
Ivory Coast,75.96153846153847,79.1923076923077,65.38846153846154,71.7576923076923,59.81923076923077,74.25961538461539,1.6153846153846154,69.37894230769231,237875000.0,62.73308605769231
Scotland,74.1923076923077,76.23076923076923,64.86153846153846,71.81538461538462,65.925,72.91153846153847,1.2307692307692308,68.85701923076923,166775000.0,62.71133875
United States,73.8076923076923,76.73076923076923,63.92884615384616,71.37884615384615,65.60961538461538,73.24615384615385,1.3846153846153846,68.69028846153846,141000000.0,62.40566538461539
Algeria,75.3076923076923,77.92307692307692,68.09807692307692,72.51923076923077,55.79230769230769,70.50192307692308,1.6538461538461537,68.79038461538461,250850000.0,62.31388865384615
Ukraine,75.3076923076923,77.96153846153847,62.103846153846156,71.39615384615385,63.94615384615384,67.41730769230769,1.2307692307692308,68.37240384615384,197950000.0,62.22655134615384
Morocco,75.34615384615384,77.73076923076923,64.95192307692308,72.31538461538462,58.59423076923077,69.59038461538461,1.3846153846153846,68.38759615384615,214800000.0,62.090393846153844
Czech Republic,73.92307692307692,76.0,64.17307692307692,71.52692307692308,62.83269230769231,69.5923076923077,1.3461538461538463,68.07875,138350000.0,61.943609807692326
Poland,73.8076923076923,76.3076923076923,63.27884615384615,68.65,64.61730769230769,72.51346153846154,1.5769230769230769,68.14798076923077,228300000.0,61.76560730769231
Japan,74.34615384615384,75.6923076923077,64.39807692307693,71.39423076923077,58.75961538461539,70.89615384615385,1.5769230769230769,67.89490384615384,141075000.0,61.568284519230765
Republic of Ireland,72.84615384615384,73.92307692307692,62.62307692307692,69.23076923076923,66.77307692307691,70.57307692307693,1.3846153846153846,67.59576923076924,110800000.0,61.545001538461555
Paraguay,74.6923076923077,76.84615384615384,64.88076923076923,69.65192307692308,59.04615384615385,70.95576923076922,1.1538461538461537,67.5653846153846,149250000.0,61.387654807692314
Norway,72.5,75.65384615384616,62.57884615384615,69.37307692307692,66.39423076923077,73.62115384615385,1.0769230769230769,67.45028846153846,114000000.0,61.37427692307692
Greece,74.34615384615384,77.03846153846153,58.875,67.38269230769231,66.43076923076923,69.8096153846154,1.5,67.61874999999999,176125000.0,61.26938317307693
Bosnia Herzegovina,73.73076923076923,76.26923076923077,64.00576923076923,69.89615384615385,60.417307692307695,68.29807692307692,1.4230769230769231,67.41855769230769,196725000.0,61.226490096153846
Nigeria,74.1923076923077,78.53846153846153,64.06153846153846,68.11538461538461,56.61346153846154,73.40576923076922,1.2307692307692308,67.04076923076923,187300000.0,60.60471115384616
Korea Republic,71.84615384615384,72.8076923076923,64.61730769230769,70.87884615384615,57.70961538461539,70.32884615384616,1.3461538461538463,66.27038461538461,120425000.0,60.27129048076924
United Arab Emirates,77.0,78.0,71.15,76.1,31.6,64.4,2.0,66.7975,10500000.0,60.10452500000001
Wales,72.3076923076923,74.92307692307692,59.85192307692307,67.95192307692308,61.88653846153846,69.72884615384615,1.4615384615384615,66.20153846153846,168625000.0,59.992700480769244
Cameroon,73.6923076923077,76.88461538461539,57.986538461538466,67.15,59.92115384615385,72.24615384615385,1.6153846153846154,66.46711538461538,152800000.0,59.91948615384615
Australia,70.92307692307692,73.0,61.80384615384616,67.34038461538461,62.77884615384615,73.24423076923077,1.0769230769230769,65.65067307692308,76825000.0,59.69487971153847
Slovenia,72.5,74.65384615384616,60.78653846153846,67.64423076923077,58.18653846153846,68.05,1.3076923076923077,65.54317307692307,127100000.0,59.45073961538462
Kuwait,70.0,70.0,54.95,74.8,63.849999999999994,59.6,1.0,64.52,1200000.0,59.218059999999994
Romania,71.61538461538461,74.57692307692308,63.349999999999994,66.11730769230769,56.54038461538461,68.87884615384615,1.2307692307692308,65.09894230769231,88950000.0,59.02940903846154
Mali,71.23076923076923,76.15384615384616,57.26923076923077,65.79615384615384,61.94615384615384,70.94423076923077,1.0769230769230769,64.92201923076922,114050000.0,58.775664038461535
Slovakia,71.92307692307692,75.61538461538461,58.97115384615385,66.4423076923077,58.24615384615385,68.19038461538462,1.1923076923076923,64.88538461538461,148375000.0,58.77176490384615
Iceland,71.1923076923077,73.11538461538461,61.47692307692308,66.15576923076922,56.49230769230769,71.69615384615385,1.2692307692307692,64.7016346153846,80825000.0,58.599118173076924
South Africa,70.53846153846153,73.88461538461539,61.19615384615385,67.91346153846153,57.15576923076923,66.39807692307691,1.0384615384615385,64.37509615384616,55500000.0,58.53896730769231
DR Congo,71.96153846153847,75.0,61.79038461538461,66.32884615384616,52.901923076923076,71.50192307692308,1.1923076923076923,64.60711538461538,123775000.0,58.40307336538462
China PR,69.11538461538461,69.46153846153847,61.33269230769231,66.17692307692307,61.138461538461534,69.275,1.0,63.897499999999994,38825000.0,58.298825865384615
Dominican Republic,72.0,79.0,68.475,62.15,48.14999999999999,71.075,1.0,64.47,20600000.0,58.11653
Peru,71.38461538461539,74.07692307692308,59.74038461538461,65.65576923076922,55.26538461538462,68.50769230769231,1.1923076923076923,64.10923076923076,75600000.0,58.05016461538462
Saudi Arabia,69.03846153846153,70.38461538461539,60.17115384615385,65.95,59.176923076923075,70.35576923076923,1.0769230769230769,63.59134615384615,43350000.0,57.83005211538461
Mozambique,72.0,74.2,51.220000000000006,60.11,63.86,71.3,1.2,63.6635,15200000.0,57.44516000000001
Egypt,71.1923076923077,73.38461538461539,58.45769230769231,63.90384615384615,55.02884615384615,68.07884615384616,1.2307692307692308,63.49903846153846,128535000.0,57.44508059615386
Northern Ireland,69.1923076923077,71.6923076923077,59.00384615384615,64.375,58.49423076923077,69.61346153846154,1.1538461538461537,63.30201923076923,50050000.0,57.40677173076923
Venezuela,71.42307692307692,75.65384615384616,62.12307692307692,64.97115384615384,48.85961538461538,68.99423076923077,1.1538461538461537,63.56009615384615,116900000.0,57.36757576923077
Ecuador,71.03846153846153,74.0,59.900000000000006,65.87692307692308,50.12307692307692,69.9423076923077,1.1538461538461537,63.29942307692307,78275000.0,57.17906759615385
Hungary,70.84615384615384,73.6923076923077,59.75576923076923,65.19807692307691,50.40384615384615,68.02884615384616,1.2307692307692308,63.10125,58150000.0,57.00994596153846
Tunisia,70.6923076923077,72.38461538461539,60.89999999999999,64.3326923076923,51.017307692307696,67.93846153846154,1.0769230769230769,62.89211538461538,80570000.0,56.97818234615384
Albania,68.96153846153847,72.1923076923077,55.53076923076923,64.17307692307692,59.603846153846156,67.79423076923078,1.1923076923076923,62.833942307692304,54500000.0,56.91899423076923
Central African Rep.,70.0,74.5,54.8875,62.400000000000006,57.7,67.3625,1.25,62.816250000000004,25450000.0,56.689022500000014
Uzbekistan,67.75,68.75,61.08749999999999,66.05000000000001,54.724999999999994,65.7,1.0,62.151875,8275000.0,56.647413750000005
Finland,68.73076923076923,71.3076923076923,58.29615384615385,63.75,56.425,69.28461538461539,1.0384615384615385,62.45990384615384,51790000.0,56.63174334615385
Israel,71.66666666666667,73.73333333333333,60.71333333333334,63.67333333333333,45.03666666666666,68.28,1.2,62.48416666666667,62850000.0,56.33247583333335
Honduras,69.0,72.6,59.836666666666666,64.65333333333334,50.54666666666667,70.86999999999999,1.1333333333333333,62.342333333333336,38920000.0,56.29921266666667
Libya,71.0,74.0,57.23333333333333,65.64999999999999,47.65,69.45,1.0,62.3025,8600000.0,56.224763333333335
Canada,68.42307692307692,72.3076923076923,56.9673076923077,63.00192307692308,56.00384615384615,69.80961538461538,1.0769230769230769,62.14221153846153,54050000.0,56.19535634615384
Cape Verde,70.95238095238095,73.76190476190476,59.58095238095238,63.55,46.63095238095238,69.05952380952381,1.0952380952380953,62.222023809523805,85855000.0,56.1145308452381
Zimbabwe,69.15384615384616,72.6923076923077,57.349999999999994,60.75769230769231,54.13076923076923,70.52307692307691,1.0,61.835,33745000.0,55.84030263461539
Guam,67.0,67.0,52.05,61.54999999999999,63.900000000000006,74.2,1.0,61.485,550000.0,55.7940275
Iraq,67.16666666666667,70.5,63.291666666666664,62.775,50.80833333333333,67.95,1.0,61.48708333333334,10305000.0,55.76618191666666
Suriname,67.66666666666667,69.66666666666667,57.199999999999996,63.28333333333333,54.0,69.7,1.0,61.307500000000005,2900000.0,55.55481166666667
Gabon,69.875,72.125,55.890625,62.168749999999996,50.971875,66.35625,1.1875,61.528749999999995,106800000.0,55.55434
São Tomé & Príncipe,72.0,72.0,71.80000000000001,62.199999999999996,30.2,69.4,1.0,61.5,2800000.0,55.47014
Guinea,69.46153846153847,73.84615384615384,55.267307692307696,61.01538461538462,52.06730769230769,69.90384615384616,1.1538461538461537,61.597692307692306,95870000.0,55.42887042307692
Syria,67.75,70.375,59.575,65.8625,46.25,67.1,1.125,60.983124999999994,17855000.0,55.16914275
Armenia,69.0,72.22222222222223,61.71666666666666,63.56666666666667,42.111111111111114,67.30555555555556,1.3333333333333333,61.18,32850000.0,55.07975361111112
Kosovo,68.5,73.46153846153847,61.14807692307692,62.775000000000006,44.71346153846154,66.78076923076922,1.0384615384615385,60.99413461538461,62570000.0,55.016359269230776
Togo,69.81818181818181,72.45454545454545,59.58181818181818,62.722727272727276,42.75454545454546,69.25,1.1818181818181819,61.084999999999994,39195000.0,54.96459611363636
Ethiopia,63.0,63.0,65.55000000000001,61.7,55.7,64.95,1.0,60.040000000000006,200000.0,54.96101000000001
Madagascar,68.3,69.9,47.28,60.995000000000005,60.375,69.525,1.1,60.76875,11725000.0,54.88808625
Costa Rica,68.38461538461539,71.38461538461539,51.075,59.16346153846154,56.973076923076924,68.35384615384615,1.1923076923076923,60.76480769230769,78465000.0,54.76753863461539
Comoros,67.4,68.6,49.160000000000004,63.04,57.510000000000005,69.87,1.0,60.4,8025000.0,54.661401250000004
Angola,68.84615384615384,73.07692307692308,58.723076923076924,60.073076923076925,45.66538461538461,70.36923076923077,1.1538461538461537,60.74538461538461,32600000.0,54.572860769230765
Guinea Bissau,67.42857142857143,72.64285714285714,56.49285714285715,59.57857142857143,51.83571428571429,69.16428571428571,1.0,60.50857142857143,30245000.0,54.53136939285715
Cyprus,65.75,69.875,54.4375,59.193749999999994,58.26875,68.275,1.0,60.198750000000004,10565000.0,54.470028250000006
El Salvador,67.0,68.5,63.025000000000006,63.3625,43.05,62.975,1.0,59.864374999999995,3825000.0,54.33969125
Georgia,67.42307692307692,72.84615384615384,58.099999999999994,61.94615384615384,45.771153846153844,64.59038461538461,1.0,59.98480769230769,51750000.0,54.112856730769224
Kazakhstan,65.0,66.25,52.25,60.925,58.724999999999994,69.05,1.0,59.6125,2425000.0,54.08512125
New Caledonia,71.0,71.0,32.35,55.5,69.85,70.8,1.0,60.144999999999996,1800000.0,54.07809
Panama,67.7,70.5,55.605,61.165,46.985,65.13,1.0,59.56474999999999,14040000.0,53.79210199999999
Liechtenstein,64.66666666666667,67.66666666666667,57.583333333333336,61.76666666666666,51.300000000000004,66.71666666666665,1.0,59.333333333333336,3235000.0,53.78182841666667
Tanzania,69.5,76.0,69.675,56.55,30.65,71.875,1.0,60.05,12000000.0,53.6581
Iran,69.28571428571429,73.5,57.28214285714286,58.92857142857143,41.86071428571428,64.86428571428571,1.0714285714285714,59.62535714285713,43040000.0,53.570152000000014
New Zealand,65.65384615384616,69.26923076923077,52.698076923076925,60.2173076923077,53.59423076923077,67.79038461538461,1.0384615384615385,59.31019230769231,38675000.0,53.55966451923077
Burkina Faso,68.6,73.26666666666667,54.986666666666665,58.65,44.063333333333325,67.80666666666667,1.2,59.582,42705000.0,53.384935250000005
Fiji,66.0,76.0,54.425000000000004,53.65,53.150000000000006,73.875,1.0,59.57749999999999,4190000.0,53.2037095
Montenegro,68.3076923076923,72.1923076923077,53.00576923076923,58.01538461538462,45.723076923076924,63.340384615384615,1.1538461538461537,58.95942307692307,80710000.0,52.981458576923075
Korea DPR,65.5,68.75,63.075,61.6375,37.4375,64.55,1.25,58.599999999999994,3350000.0,52.8176675
Bulgaria,65.88461538461539,68.73076923076923,57.8,59.55769230769231,44.34615384615385,65.25,1.0769230769230769,58.527692307692305,16175000.0,52.81303951923076
Eritrea,68.5,71.5,68.475,60.099999999999994,27.0,62.425,1.0,58.582499999999996,2750000.0,52.740637500000005
Jamaica,66.8076923076923,68.57692307692308,56.142307692307696,56.72115384615385,45.36730769230769,68.05,1.0384615384615385,58.41596153846154,52520000.0,52.605549076923076
Chad,70.0,76.5,69.8,58.849999999999994,20.175,70.075,1.0,58.97749999999999,6200000.0,52.52380999999999
Luxembourg,64.0,71.25,48.61875,57.012499999999996,57.84375,63.88125,1.0,58.240312499999995,7045000.0,52.49397724999999
Equatorial Guinea,67.33333333333333,74.33333333333333,50.19166666666667,58.34166666666667,45.86666666666667,66.56666666666666,1.1666666666666667,58.655,14165000.0,52.42770825
Bolivia,66.38461538461539,69.57692307692308,49.409615384615385,55.68846153846154,52.9673076923077,65.375,1.0384615384615385,58.209326923076915,7400000.0,52.41948538461538
Montserrat,64.5,67.75,51.525,55.625,54.8,67.45,1.0,58.01499999999999,2275000.0,52.351113749999996
