home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result,home_rank,home_points,confederation_x,away_rank,away_points,confederation_y,ranking_difference,points_difference,home_team_power,away_team_power,team_power_difference,home_last5_wins,home_last5_draws,home_last5_losses,home_last5_goals,home_last5_goals_conceded,home_recent_form_score,away_last5_wins,away_last5_draws,away_last5_losses,away_last5_goals,away_last5_goals_conceded,away_recent_form_score,form_score_difference,recent_goals_difference,recent_defense_difference
Yugoslavia,Switzerland,7336,Group stage,Brazil,1950,1950-06-25,3,0,home_win,,,,,,,,,,64.68190576923077,,2,0,1,7,7,6,2,1,2,10,10,7,-1,-3,3
Spain,United States,9511,Group stage,Brazil,1950,1950-06-25,3,1,home_win,,,,,,,,,71.50423846153845,62.40566538461539,9.09857307692306,1,1,1,4,3,4,2,0,2,8,13,6,-2,-4,10
England,Chile,29703,Group stage,Brazil,1950,1950-06-25,2,0,home_win,,,,,,,,,68.18326346153846,63.52331596153847,4.659947499999987,0,0,0,0,0,0,2,0,1,5,3,6,-6,-5,3
Sweden,Italy,36502,Group stage,Brazil,1950,1950-06-25,3,2,home_win,,,,,,,,,62.87979807692308,68.45827307692308,-5.578474999999997,2,0,3,15,13,6,5,0,0,13,6,15,-9,2,-7
Brazil,Switzerland,42032,Group stage,Brazil,1950,1950-06-28,2,2,draw,,,,,,,,,71.18102653846155,64.68190576923077,6.499120769230785,3,1,1,12,6,10,1,1,3,7,11,4,6,5,5
Yugoslavia,Mexico,11078,Group stage,Brazil,1950,1950-06-28,4,1,home_win,,,,,,,,,,64.15167115384617,,3,0,1,10,7,9,0,0,4,4,17,0,9,6,10
United States,England,10151,Group stage,Brazil,1950,1950-06-29,1,0,home_win,,,,,,,,,62.40566538461539,68.18326346153846,-5.77759807692307,2,0,3,9,16,6,1,0,0,2,0,3,3,7,-16
Spain,Chile,19790,Group stage,Brazil,1950,1950-06-29,2,0,home_win,,,,,,,,,71.50423846153845,63.52331596153847,7.980922499999977,2,1,1,7,4,7,2,0,2,5,5,6,1,2,1
Sweden,Paraguay,7903,Group stage,Brazil,1950,1950-06-29,2,2,draw,,,,,,,,,62.87979807692308,61.38765480769232,1.492143269230759,2,0,3,15,13,6,1,0,1,1,3,3,3,14,-10
Brazil,Yugoslavia,142429,Group stage,Brazil,1950,1950-07-01,2,0,home_win,,,,,,,,,71.18102653846155,,,3,1,1,13,7,10,4,0,1,14,8,12,-2,-1,1
Switzerland,Mexico,3580,Group stage,Brazil,1950,1950-07-02,2,1,home_win,,,,,,,,,64.68190576923077,64.15167115384617,0.5302346153846003,1,2,2,7,10,5,0,0,5,5,21,0,5,2,11
Spain,England,74462,Group stage,Brazil,1950,1950-07-02,1,0,home_win,,,,,,,,,71.50423846153845,68.18326346153846,3.32097499999999,3,1,1,9,4,10,1,0,1,2,1,3,7,7,-3
Uruguay,Bolivia,5284,Group stage,Brazil,1950,1950-07-02,8,0,home_win,,,,,,,,,65.00322653846155,52.41948538461538,12.58374115384617,4,0,0,15,3,12,0,0,2,0,8,0,12,15,5
Italy,Paraguay,25811,Group stage,Brazil,1950,1950-07-02,2,0,home_win,,,,,,,,,68.45827307692308,61.38765480769232,7.070618269230756,4,0,1,13,8,12,1,1,1,3,5,4,8,10,-3
Chile,United States,8501,Group stage,Brazil,1950,1950-07-02,5,2,home_win,,,,,,,,,63.52331596153847,62.40566538461539,1.117650576923083,2,0,3,5,7,6,2,0,3,7,16,6,0,-2,9
Uruguay,Spain,44802,Final stage,Brazil,1950,1950-07-09,2,2,draw,,,,,,,,,65.00322653846155,71.50423846153845,-6.501011923076902,5,0,0,23,3,15,3,1,1,7,3,10,5,16,0
Brazil,Sweden,138886,Final stage,Brazil,1950,1950-07-09,7,1,home_win,,,,,,,,,71.18102653846155,62.87979807692308,8.301228461538471,3,1,1,13,6,10,2,1,2,16,13,7,3,-3,7
